index,date,route_id,route_name,direction,stop_id,stop_name,ons,offs,vehicle_id
338,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139050,JONESBORO RD SE/WHATLEY ST SE,,1,2409
339,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115164,HANK AARON DR/ORMOND ST SE,,,2409
340,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115194,CAPITOL AVE/FULTON ST,,2,2409
341,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115168,HANK AARON DR/ATLANTA AVE SE,0,0,2409
342,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125064,JONESBORO RD SE/GAMMON AVE SE,,,2409
343,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125066,JONESBORO RD SE/MARTIN AVE SE,,1,2409
344,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,139012,BROWNS MILL RD SE/ADELLE ST SE,,,2409
345,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,150010,JONESBORO RD SE/MIDWAY ST SE,,,2409
346,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159252,HUTCHENS RD SE/KING SMITH RD SE,,,2409
347,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,115180,HANK AARON DR SW/HAYGOOD AVE SW,,1,2409
348,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159246,HUTCHENS RD SE/JONESBORO RD SE,,1,2409
349,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,102262,MITCHELL ST SW/CENTRAL AVE SW,,,2409
350,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,125070,JONESBORO RD SE/MELDON AVE SE,,,2409
351,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,138006,JONESBORO RD SE/LETHEA ST SE,,,2409
352,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,159410,HUTCHENS RD/KATOMARICK DR,,,2409
353,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212075,JONESBORO RD/GRACE DR,,1,2409
354,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212076,JONESBORO RD/FOREST AVE,,,2409
355,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212077,JONESBORO RD/MARIE ST,,,2409
356,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,212204,HUTCHENS RD SE/860,,,2409
357,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167002,HUTCHENS RD/FORREST PARK RD,,,2409
358,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167004,FORREST PARK RD SE/PINE FOREST DR,,,2409
359,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167006,FORREST PARK RD SE/EISENHOWER RD SE,,,2409
360,7/1/2016,55,55: Cleveland Ave/Lakewood Heights,Southbound,167008,FORREST PARK RD SE/HENDON RD,1,,2409
